"","taxon","p_mean","n_mean","log2fold","glm.nb_est","glm.nb_stderr","glm.nb_zval","glm.nb_pval"
"367","Polyporales",0.0352481213806183,0.0160654060147541,1.13358892629193,0.785743968173227,1.56583930623257,0.501803706833582,0.615805605393866
"368","Polyschema",0.00841467838263764,0.00152016557184432,2.46867966515737,1.7111583496095,7.66680654188126,0.223190495320575,0.82338724901744
"369","Preussia",0.0268040105292654,0.00760082785922159,1.81822041274442,1.26029435273034,3.35556584826168,0.375583257703978,0.707226739417114
"370","Preussia flanaganii",0.00426799577057874,0.00152016557184432,1.48933028029246,1.03232508470727,7.88292641182926,0.130957087606215,0.895809254104721
"371","Preussia terricola",0.00280489279421255,0.00304033114368863,-0.116282835563786,-0.080601119618554,6.26843611307235,-0.0128582501543673,0.989740883421486
"372","Psathyrellaceae",0.0300420783870905,0.0091209934310659,1.71972175355414,1.19202028482365,3.06673866864975,0.388693140700014,0.697503157085467
"373","Pseudallescheria",0.000560978558842509,0.00152016557184432,-1.43821093045115,-0.996891851492708,10.6882443928957,-0.0932699342237462,0.925689116952386
"374","Pseudeurotiaceae",0.00539431108816524,0.0141109074223828,-1.38730013667801,-0.961603178328786,2.00648381303987,-0.479247912233058,0.631762272853472
"375","Pseudogymnoascus",0.000935018177895556,0.00152016557184432,-0.701162148075266,-0.486008566053726,8.12874341782937,-0.059788892461254,0.952323772282929
"376","Pucciniomycetes",0.0150563259471323,0.00403451299582718,1.89990332364243,1.31691263211921,6.46818185103567,0.203598578773469,0.838667203856278
"377","Pyrenochaetopsis",0.00210175821867492,0.00152016557184432,0.467368248384376,0.323954983650876,7.65471927915953,0.0423209489253074,0.96624284541814
"378","Pyronemataceae",0.0201491955765795,0.0091209934310659,1.14345937063296,0.792585638839087,3.10613761046215,0.255167586963786,0.798593664444272
"379","Rhizophagus",0.000205954030545018,0.0197621524339761,-6.58427391904621,-4.56387090302126,9.53526783849009,-0.478630593322059,0.632201450061757
"380","Rhizophlyctidaceae",0.0271393565037036,0.00513796882798788,2.40111647112555,1.66432711215672,2.71652510366859,0.612667672354321,0.540096102208014
"381","Rhizophlyctidales",0.0303374544234672,0.0057894683587783,2.38959725785609,1.65634260195672,2.55971237759976,0.647081530117019,0.517579178361493
"382","Rhizophlyctidomycetes",0.0303374544234672,0.0057894683587783,2.38959725785609,1.65634260195672,2.55971237759976,0.647081530117019,0.517579178361493
"383","Rhizophlyctis",0.0232255526048024,0.00152016557184432,3.93341255168414,2.72643382017899,7.43769136202691,0.366569905562199,0.713939859701811
"384","Rhizophydiales",0.0101361346815534,0.0235539638102867,-1.21646226693611,-0.843187390584328,1.87386619226389,-0.44997203859345,0.652730602384621
"385","Rhizophydiomycetes",0.0101361346815534,0.0235539638102867,-1.21646226693611,-0.843187390584328,1.87386619226389,-0.44997203859345,0.652730602384621
"386","Rhizopycnis",0.000102977015272509,0.00152016557184432,-3.88383420090512,-2.69206872611967,15.1072041227394,-0.178197680010662,0.858567731648598
"387","Rhodotorula",0.00592029773703564,0.00718218299998006,-0.278752680835505,-0.193216634794653,4.33201719653396,-0.0446020008759997,0.964424547780353
"388","Rhynchogastremataceae",0.0135230909334031,0.0127855887513316,0.080906346512093,0.056080005974264,2.22082454195531,0.0252518850160439,0.97985405187376
"389","Russula",0.000851104546504847,0.0314052850803822,-5.20552719711743,-3.60819650001007,3.38606991817872,-1.06560011671313,0.286604446433672
"390","Russulaceae",0.00197925840573097,0.0392566063504778,-4.30990357679287,-2.9873975127392,2.38046402805371,-1.25496435885307,0.209491698620234
"391","Russulales",0.0363137884367706,0.0237353455475681,0.613480393995531,0.425232205426804,1.31406715982733,0.323600055177301,0.746240846187264
"392","Saccharomycetales",0.0142360695673329,0.00194894963657473,2.86878217293819,1.98848827481274,6.09977703454636,0.325993600020271,0.744429197315968
